sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([64, 19])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([64, 17])
sorted_opacity shape: torch.Size([15, 1]), gauss_weight shape: torch.Size([64, 15])
sorted_opacity shape: torch.Size([15, 1]), gauss_weight shape: torch.Size([64, 15])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([64, 17])
sorted_opacity shape: torch.Size([21, 1]), gauss_weight shape: torch.Size([64, 21])
sorted_opacity shape: torch.Size([30, 1]), gauss_weight shape: torch.Size([64, 30])
sorted_opacity shape: torch.Size([36, 1]), gauss_weight shape: torch.Size([64, 36])
sorted_opacity shape: torch.Size([42, 1]), gauss_weight shape: torch.Size([64, 42])
sorted_opacity shape: torch.Size([49, 1]), gauss_weight shape: torch.Size([64, 49])
sorted_opacity shape: torch.Size([57, 1]), gauss_weight shape: torch.Size([64, 57])
sorted_opacity shape: torch.Size([69, 1]), gauss_weight shape: torch.Size([64, 69])
sorted_opacity shape: torch.Size([77, 1]), gauss_weight shape: torch.Size([64, 77])
sorted_opacity shape: torch.Size([121, 1]), gauss_weight shape: torch.Size([64, 121])
sorted_opacity shape: torch.Size([192, 1]), gauss_weight shape: torch.Size([64, 192])
sorted_opacity shape: torch.Size([322, 1]), gauss_weight shape: torch.Size([64, 322])
sorted_opacity shape: torch.Size([461, 1]), gauss_weight shape: torch.Size([64, 461])
sorted_opacity shape: torch.Size([617, 1]), gauss_weight shape: torch.Size([64, 617])
sorted_opacity shape: torch.Size([759, 1]), gauss_weight shape: torch.Size([64, 759])
sorted_opacity shape: torch.Size([873, 1]), gauss_weight shape: torch.Size([64, 873])
sorted_opacity shape: torch.Size([1031, 1]), gauss_weight shape: torch.Size([64, 1031])
sorted_opacity shape: torch.Size([1177, 1]), gauss_weight shape: torch.Size([64, 1177])
sorted_opacity shape: torch.Size([1327, 1]), gauss_weight shape: torch.Size([64, 1327])
sorted_opacity shape: torch.Size([1512, 1]), gauss_weight shape: torch.Size([64, 1512])
sorted_opacity shape: torch.Size([1658, 1]), gauss_weight shape: torch.Size([64, 1658])
sorted_opacity shape: torch.Size([1769, 1]), gauss_weight shape: torch.Size([64, 1769])
sorted_opacity shape: torch.Size([1862, 1]), gauss_weight shape: torch.Size([64, 1862])
sorted_opacity shape: torch.Size([1908, 1]), gauss_weight shape: torch.Size([64, 1908])
sorted_opacity shape: torch.Size([1925, 1]), gauss_weight shape: torch.Size([64, 1925])
sorted_opacity shape: torch.Size([1854, 1]), gauss_weight shape: torch.Size([64, 1854])
sorted_opacity shape: torch.Size([1756, 1]), gauss_weight shape: torch.Size([64, 1756])
sorted_opacity shape: torch.Size([1630, 1]), gauss_weight shape: torch.Size([64, 1630])
sorted_opacity shape: torch.Size([1483, 1]), gauss_weight shape: torch.Size([64, 1483])
sorted_opacity shape: torch.Size([1344, 1]), gauss_weight shape: torch.Size([64, 1344])
sorted_opacity shape: torch.Size([1186, 1]), gauss_weight shape: torch.Size([64, 1186])
sorted_opacity shape: torch.Size([1044, 1]), gauss_weight shape: torch.Size([64, 1044])
sorted_opacity shape: torch.Size([894, 1]), gauss_weight shape: torch.Size([64, 894])
sorted_opacity shape: torch.Size([758, 1]), gauss_weight shape: torch.Size([64, 758])
sorted_opacity shape: torch.Size([647, 1]), gauss_weight shape: torch.Size([64, 647])
sorted_opacity shape: torch.Size([489, 1]), gauss_weight shape: torch.Size([64, 489])
sorted_opacity shape: torch.Size([337, 1]), gauss_weight shape: torch.Size([64, 337])
sorted_opacity shape: torch.Size([224, 1]), gauss_weight shape: torch.Size([64, 224])
sorted_opacity shape: torch.Size([131, 1]), gauss_weight shape: torch.Size([64, 131])
sorted_opacity shape: torch.Size([78, 1]), gauss_weight shape: torch.Size([64, 78])
sorted_opacity shape: torch.Size([58, 1]), gauss_weight shape: torch.Size([64, 58])
sorted_opacity shape: torch.Size([44, 1]), gauss_weight shape: torch.Size([64, 44])
sorted_opacity shape: torch.Size([43, 1]), gauss_weight shape: torch.Size([64, 43])
sorted_opacity shape: torch.Size([32, 1]), gauss_weight shape: torch.Size([64, 32])
sorted_opacity shape: torch.Size([26, 1]), gauss_weight shape: torch.Size([64, 26])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([64, 23])
sorted_opacity shape: torch.Size([21, 1]), gauss_weight shape: torch.Size([64, 21])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([64, 19])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([64, 17])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([64, 16])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([64, 19])
sorted_opacity shape: torch.Size([24, 1]), gauss_weight shape: torch.Size([64, 24])
sorted_opacity shape: torch.Size([33, 1]), gauss_weight shape: torch.Size([64, 33])
sorted_opacity shape: torch.Size([41, 1]), gauss_weight shape: torch.Size([64, 41])
sorted_opacity shape: torch.Size([47, 1]), gauss_weight shape: torch.Size([64, 47])
