sorted_opacity shape: torch.Size([1758, 1]), gauss_weight shape: torch.Size([64, 1758])
sorted_opacity shape: torch.Size([1896, 1]), gauss_weight shape: torch.Size([64, 1896])
sorted_opacity shape: torch.Size([1999, 1]), gauss_weight shape: torch.Size([64, 1999])
sorted_opacity shape: torch.Size([2058, 1]), gauss_weight shape: torch.Size([64, 2058])
sorted_opacity shape: torch.Size([2059, 1]), gauss_weight shape: torch.Size([64, 2059])
sorted_opacity shape: torch.Size([2013, 1]), gauss_weight shape: torch.Size([64, 2013])
sorted_opacity shape: torch.Size([1899, 1]), gauss_weight shape: torch.Size([64, 1899])
sorted_opacity shape: torch.Size([1757, 1]), gauss_weight shape: torch.Size([64, 1757])
sorted_opacity shape: torch.Size([1605, 1]), gauss_weight shape: torch.Size([64, 1605])
sorted_opacity shape: torch.Size([1447, 1]), gauss_weight shape: torch.Size([64, 1447])
sorted_opacity shape: torch.Size([1304, 1]), gauss_weight shape: torch.Size([64, 1304])
sorted_opacity shape: torch.Size([1151, 1]), gauss_weight shape: torch.Size([64, 1151])
sorted_opacity shape: torch.Size([985, 1]), gauss_weight shape: torch.Size([64, 985])
sorted_opacity shape: torch.Size([817, 1]), gauss_weight shape: torch.Size([64, 817])
sorted_opacity shape: torch.Size([649, 1]), gauss_weight shape: torch.Size([64, 649])
sorted_opacity shape: torch.Size([525, 1]), gauss_weight shape: torch.Size([64, 525])
sorted_opacity shape: torch.Size([352, 1]), gauss_weight shape: torch.Size([64, 352])
sorted_opacity shape: torch.Size([219, 1]), gauss_weight shape: torch.Size([64, 219])
sorted_opacity shape: torch.Size([140, 1]), gauss_weight shape: torch.Size([64, 140])
sorted_opacity shape: torch.Size([87, 1]), gauss_weight shape: torch.Size([64, 87])
sorted_opacity shape: torch.Size([73, 1]), gauss_weight shape: torch.Size([64, 73])
sorted_opacity shape: torch.Size([61, 1]), gauss_weight shape: torch.Size([64, 61])
sorted_opacity shape: torch.Size([46, 1]), gauss_weight shape: torch.Size([64, 46])
sorted_opacity shape: torch.Size([35, 1]), gauss_weight shape: torch.Size([64, 35])
sorted_opacity shape: torch.Size([32, 1]), gauss_weight shape: torch.Size([64, 32])
