sorted_opacity shape: torch.Size([66, 1]), gauss_weight shape: torch.Size([256, 66])
sorted_opacity shape: torch.Size([30, 1]), gauss_weight shape: torch.Size([256, 30])
sorted_opacity shape: torch.Size([41, 1]), gauss_weight shape: torch.Size([256, 41])
sorted_opacity shape: torch.Size([91, 1]), gauss_weight shape: torch.Size([256, 91])
sorted_opacity shape: torch.Size([158, 1]), gauss_weight shape: torch.Size([256, 158])
sorted_opacity shape: torch.Size([313, 1]), gauss_weight shape: torch.Size([256, 313])
sorted_opacity shape: torch.Size([679, 1]), gauss_weight shape: torch.Size([256, 679])
sorted_opacity shape: torch.Size([1342, 1]), gauss_weight shape: torch.Size([256, 1342])
sorted_opacity shape: torch.Size([2034, 1]), gauss_weight shape: torch.Size([256, 2034])
sorted_opacity shape: torch.Size([2659, 1]), gauss_weight shape: torch.Size([256, 2659])
sorted_opacity shape: torch.Size([3327, 1]), gauss_weight shape: torch.Size([256, 3327])
sorted_opacity shape: torch.Size([4008, 1]), gauss_weight shape: torch.Size([256, 4008])
sorted_opacity shape: torch.Size([4676, 1]), gauss_weight shape: torch.Size([256, 4676])
sorted_opacity shape: torch.Size([4850, 1]), gauss_weight shape: torch.Size([256, 4850])
sorted_opacity shape: torch.Size([4813, 1]), gauss_weight shape: torch.Size([256, 4813])
sorted_opacity shape: torch.Size([4834, 1]), gauss_weight shape: torch.Size([256, 4834])
sorted_opacity shape: torch.Size([4631, 1]), gauss_weight shape: torch.Size([256, 4631])
sorted_opacity shape: torch.Size([3936, 1]), gauss_weight shape: torch.Size([256, 3936])
sorted_opacity shape: torch.Size([3266, 1]), gauss_weight shape: torch.Size([256, 3266])
sorted_opacity shape: torch.Size([2636, 1]), gauss_weight shape: torch.Size([256, 2636])
