sorted_opacity shape: torch.Size([61, 1]), gauss_weight shape: torch.Size([64, 61])
sorted_opacity shape: torch.Size([73, 1]), gauss_weight shape: torch.Size([64, 73])
sorted_opacity shape: torch.Size([102, 1]), gauss_weight shape: torch.Size([64, 102])
sorted_opacity shape: torch.Size([171, 1]), gauss_weight shape: torch.Size([64, 171])
sorted_opacity shape: torch.Size([300, 1]), gauss_weight shape: torch.Size([64, 300])
sorted_opacity shape: torch.Size([449, 1]), gauss_weight shape: torch.Size([64, 449])
sorted_opacity shape: torch.Size([596, 1]), gauss_weight shape: torch.Size([64, 596])
sorted_opacity shape: torch.Size([750, 1]), gauss_weight shape: torch.Size([64, 750])
sorted_opacity shape: torch.Size([900, 1]), gauss_weight shape: torch.Size([64, 900])
sorted_opacity shape: torch.Size([1068, 1]), gauss_weight shape: torch.Size([64, 1068])
sorted_opacity shape: torch.Size([1206, 1]), gauss_weight shape: torch.Size([64, 1206])
sorted_opacity shape: torch.Size([1327, 1]), gauss_weight shape: torch.Size([64, 1327])
sorted_opacity shape: torch.Size([1412, 1]), gauss_weight shape: torch.Size([64, 1412])
sorted_opacity shape: torch.Size([1463, 1]), gauss_weight shape: torch.Size([64, 1463])
sorted_opacity shape: torch.Size([1467, 1]), gauss_weight shape: torch.Size([64, 1467])
sorted_opacity shape: torch.Size([1400, 1]), gauss_weight shape: torch.Size([64, 1400])
sorted_opacity shape: torch.Size([1312, 1]), gauss_weight shape: torch.Size([64, 1312])
sorted_opacity shape: torch.Size([1210, 1]), gauss_weight shape: torch.Size([64, 1210])
sorted_opacity shape: torch.Size([1057, 1]), gauss_weight shape: torch.Size([64, 1057])
sorted_opacity shape: torch.Size([892, 1]), gauss_weight shape: torch.Size([64, 892])
sorted_opacity shape: torch.Size([744, 1]), gauss_weight shape: torch.Size([64, 744])
sorted_opacity shape: torch.Size([595, 1]), gauss_weight shape: torch.Size([64, 595])
sorted_opacity shape: torch.Size([433, 1]), gauss_weight shape: torch.Size([64, 433])
sorted_opacity shape: torch.Size([295, 1]), gauss_weight shape: torch.Size([64, 295])
sorted_opacity shape: torch.Size([161, 1]), gauss_weight shape: torch.Size([64, 161])
sorted_opacity shape: torch.Size([93, 1]), gauss_weight shape: torch.Size([64, 93])
sorted_opacity shape: torch.Size([55, 1]), gauss_weight shape: torch.Size([64, 55])
